id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01K9BDAQCSZ8QJA495PKP7RFRD,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""Iterated prisoner's dilemma w/o chat"",""factors"":{""chatEnabled"":false,""numRounds"":5,""playerCount"":2}},""count"":1}]}}",2025-11-05T17:43:35.065269-08:00,,,true,2025-11-05T17:43:35.092105-08:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-11-05T17:43:35.065269-08:00,terminated,2025-11-05T17:45:45.65798-08:00
01K9BDERYREB8GBPEC75QXGXS3,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""Iterated prisoner's dilemma w/o chat"",""factors"":{""chatEnabled"":false,""numRounds"":5,""playerCount"":2}},""count"":1}]}}",2025-11-05T17:45:47.73625-08:00,all games finished,2025-11-05T17:58:18.908788-08:00,true,2025-11-05T17:45:47.76006-08:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-11-05T17:45:47.73625-08:00,ended,2025-11-05T17:58:18.908788-08:00
