id,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,introDone,introDoneLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,score,scoreLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01K9BDGH2KGWS2BMRDSAJZ64DR,game ended,2025-11-05T17:58:18.908788-08:00,true,2025-11-05T17:58:43.185651-08:00,"{""age"":""20"",""gender"":""F"",""strength"":""fun"",""fair"":""yes"",""feedback"":""none"",""education"":""bachelor""}",2025-11-05T17:58:43.184627-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:45.211717-08:00,true,2025-11-05T17:46:45.871665-08:00,01K9BDGH27P8BJ99NGSBQSNNR7,2025-11-05T17:46:45.203781-08:00,yy,2025-11-05T17:46:45.203781-08:00,39,2025-11-05T17:58:15.262294-08:00,"{""chatEnabled"":false,""numRounds"":5,""playerCount"":2}",2025-11-05T17:46:45.211717-08:00,baseline,2025-11-05T17:46:45.211717-08:00,"{""participantKey"":""1762393603924""}",2025-11-05T17:46:45.216101-08:00
01K9BDBD9EQTQQMDYZA4Q0JVRS,game terminated,2025-11-05T17:45:45.734303-08:00,true,2025-11-05T17:45:58.533116-08:00,"{""age"":"""",""gender"":"""",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":""""}",2025-11-05T17:45:58.532462-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:43:57.500519-08:00,true,2025-11-05T17:44:00.354628-08:00,01K9BDBD92RP9MVCGQGX4ZP4FF,2025-11-05T17:43:57.486863-08:00,y,2025-11-05T17:43:57.486863-08:00,51,2025-11-05T17:44:41.445793-08:00,"{""chatEnabled"":false,""numRounds"":5,""playerCount"":2}",2025-11-05T17:43:57.500519-08:00,baseline,2025-11-05T17:43:57.500519-08:00,"{""participantKey"":""1762292505423""}",2025-11-05T17:43:57.506243-08:00
01K9BDBKRKY3W5QJEN3TZGQ8GX,game terminated,2025-11-05T17:45:45.734303-08:00,true,2025-11-05T17:46:01.405786-08:00,"{""age"":"""",""gender"":"""",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":""""}",2025-11-05T17:46:01.406463-08:00,01K9BDAQDKEJPQ224CXD1Z4K90,2025-11-05T17:44:04.126474-08:00,true,2025-11-05T17:44:05.617713-08:00,01K9BDBKR8YFY3903E07RJCZ7Q,2025-11-05T17:44:04.1152-08:00,m,2025-11-05T17:44:04.1152-08:00,46,2025-11-05T17:44:41.445793-08:00,"{""chatEnabled"":false,""numRounds"":5,""playerCount"":2}",2025-11-05T17:44:04.126474-08:00,baseline,2025-11-05T17:44:04.126474-08:00,{},2025-11-05T17:44:04.132055-08:00
01K9BDGC7HYYQC36MAGZQ0A09E,game ended,2025-11-05T17:58:18.908788-08:00,true,2025-11-05T17:58:21.847591-08:00,"{""age"":"""",""gender"":"""",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":""""}",2025-11-05T17:58:21.846782-08:00,01K9BDERZBM8DVE1MKS2RPKREY,2025-11-05T17:46:40.255513-08:00,true,2025-11-05T17:46:41.740151-08:00,01K9BDGC74C5EXCQ9GNEM5RYJJ,2025-11-05T17:46:40.241674-08:00,mm,2025-11-05T17:46:40.241674-08:00,53,2025-11-05T17:58:15.262294-08:00,"{""chatEnabled"":false,""numRounds"":5,""playerCount"":2}",2025-11-05T17:46:40.255513-08:00,baseline,2025-11-05T17:46:40.255513-08:00,"{""participantKey"":""1762393598328""}",2025-11-05T17:46:40.261024-08:00
