id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01K9THEXEQ7CHCVV4RW5S1TPVJ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""hasChat"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-11-11T22:44:23.127238617Z,all games finished,2025-11-11T23:20:48.481344447Z,true,2025-11-11T22:44:23.144183514Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-11-11T22:44:23.127238617Z,ended,2025-11-11T23:20:48.481344447Z
01K9THEYDPZR9VJ78GCSACY0S0,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""hasChat"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-11-11T22:44:24.118756525Z,all games finished,2025-11-11T23:18:21.519231833Z,true,2025-11-11T22:44:24.132119024Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-11-11T22:44:24.118756525Z,ended,2025-11-11T23:18:21.519231833Z
01K9TKHWPQ1CHEHQDB7EFMGZ28,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""hasChat"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-11-11T23:20:57.815242983Z,all games finished,2025-11-11T23:26:06.606764596Z,true,2025-11-11T23:20:57.830297948Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-11-11T23:20:57.815242983Z,ended,2025-11-11T23:26:06.606764596Z
01K9TE9T6GRQ5KWPW9N4YQG3VB,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""hasChat"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-11-11T21:49:10.22477219Z,all games finished,2025-11-11T22:10:49.655427046Z,true,2025-11-11T21:49:10.246582985Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-11-11T21:49:10.22477219Z,ended,2025-11-11T22:10:49.655427046Z
01K9TFNQNAP48FY832SYY72D12,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""hasChat"":false,""numRounds"":13,""playerCount"":2}},""count"":4}]}}",2025-11-11T22:13:09.418575736Z,,,true,2025-11-11T22:13:09.440431739Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-11-11T22:13:09.418575736Z,terminated,2025-11-11T22:22:16.47198915Z
01K9TG6EXGBQ4G6XZ3R8J93D2N,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""hasChat"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-11-11T22:22:17.520702049Z,all games finished,2025-11-11T22:31:34.259738228Z,true,2025-11-11T22:22:17.536485941Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-11-11T22:22:17.520702049Z,ended,2025-11-11T22:31:34.259738228Z
01K9TG836P0GZ79TTG0H44E12V,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""hasChat"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-11-11T22:23:11.062463888Z,all games finished,2025-11-11T22:36:07.602970294Z,true,2025-11-11T22:23:11.074459982Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-11-11T22:23:11.062463888Z,ended,2025-11-11T22:36:07.602970294Z
01K9TH27G7F3SSDWAJRVH52AN5,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""hasChat"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-11-11T22:37:27.432026173Z,all games finished,2025-11-11T22:43:06.12182085Z,true,2025-11-11T22:37:27.450784051Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-11-11T22:37:27.432026173Z,ended,2025-11-11T22:43:06.12182085Z
